source_id,canonical_source_name,class_label,class_label_text,classification_status,classification_reference,classification_evidence,identity_reference,included_in_trusted_cohort,confidence_status,notes
xte_j1908_094,XTE J1908+094,UNRESOLVED,BH candidate; not a dynamical confirmation in evidence reviewed,unresolved,intzand2002,Circumstantial spectral/timing evidence; no confirmed benchmark label adopted,intzand2002,False,high identity; unresolved class policy,Separate object from 4U 1907+09. No reference ObsID mapping recovered.
4u_1907_09,4U 1907+09,NS,Accretion-powered X-ray pulsar,verified,baykal2001,Measured coherent pulse timing; independent neutron-star evidence,baykal2001,False,high object/class identity; unresolved cohort mapping,HMXB. Do not automatically relabel XTE J1908+094 observations.
v4641_sgr,V4641 Sgr,BH,Dynamically supported black hole,verified,orosz2001,Optical radial velocities and binary-model constraints,orosz2001,True,high object/class identity; unresolved cohort mapping,Published ML table lists SAXJ1819.3-2525 and V4641SGR separately; underlying ObsIDs required before merging records.
igr_j17379_3747,IGR J17379-3747,NS,Accreting millisecond X-ray pulsar,verified,sanna2018,2.1-ms coherent pulsations and known X-ray burst history,sanna2018,False,high object/class identity; unresolved cohort mapping,Published ML table assigns BH to IGRJ17379-3747. Preserve table; verify its actual ObsIDs before any relabeling.
xte_j1118_480,XTE J1118+480,BH,BH,verified,https://arxiv.org/abs/1510.08869,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.,https://arxiv.org/abs/1510.08869,True,independent catalog evidence; explicit archive name plus position,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
igr_j00291_5934,IGR J00291+5934,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type BPT, 0 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type BPT, 0 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1728_34,4U 1728-34,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type ABORC, 1173 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type ABORC, 1173 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
sax_j1808_4_3658,SAX J1808.4-3658,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type BOPRT, 12 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type BOPRT, 12 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1608_522,4U 1608-522,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type ABOST, 145 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type ABOST, 145 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
4u_1543_475,4U 1543-475,BH,BH,verified,https://arxiv.org/abs/1510.08869,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.,https://arxiv.org/abs/1510.08869,True,independent catalog evidence; explicit archive name plus position,BlackCAT dynamical sample (Table 4); coordinates and counterpart designation from CDS Table A.1. Conservative secure-BH subset.
slx_1735_269,SLX 1735-269,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type BSC, 23 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type BSC, 23 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
cyg_x_2,Cyg X-2,NS,NS,verified,https://burst.sci.monash.edu/sources,"MINBAR source catalog: type BZR, 70 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed.",https://burst.sci.monash.edu/sources,True,independent catalog evidence; explicit archive name plus position,"MINBAR source catalog: type BZR, 70 cataloged bursts. Type P independently identifies a pulsar. Explicit designation variant where listed."
